시도,시군구,자격별,성별,연령구분,신청자,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외A,등급외B,등급외C
서울특별시,중구,일반,여자,65-69세,53 ,*,*,*,*,*,*,8 ,5 ,*
서울특별시,중구,일반,여자,70-74세,80 ,*,0 ,5 ,15 ,5 ,*,11 ,7 ,*
서울특별시,중구,일반,여자,75-79세,173 ,6 ,6 ,16 ,30 ,12 ,10 ,14 ,8 ,8 
서울특별시,중구,일반,여자,80-84세,282 ,*,15 ,47 ,87 ,26 ,12 ,19 ,6 ,6 
서울특별시,중구,일반,여자,85세이상,476 ,20 ,34 ,119 ,148 ,38 ,11 ,18 ,17 ,9 
서울특별시,중구,기초,남자,65세미만,20 ,*,*,5 ,*,0 ,*,*,*,*
서울특별시,중구,기초,남자,65-69세,33 ,*,0 ,*,10 ,0 ,0 ,*,*,*
서울특별시,중구,기초,남자,70-74세,23 ,0 ,0 ,*,*,*,*,*,0 ,*
서울특별시,중구,기초,남자,75-79세,28 ,0 ,*,*,*,*,*,*,*,*
서울특별시,중구,기초,남자,80-84세,26 ,0 ,*,5 ,7 ,*,*,*,*,*
서울특별시,중구,기초,남자,85세이상,17 ,0 ,*,*,7 ,0 ,*,0 ,0 ,*
서울특별시,중구,기초,여자,65세미만,*,0 ,0 ,0 ,*,*,0 ,0 ,0 ,0 
서울특별시,중구,기초,여자,65-69세,26 ,0 ,0 ,*,5 ,0 ,0 ,6 ,*,*
서울특별시,중구,기초,여자,70-74세,35 ,*,*,*,10 ,*,*,*,*,*
서울특별시,중구,기초,여자,75-79세,42 ,*,0 ,*,10 ,6 ,*,*,*,*
서울특별시,중구,기초,여자,80-84세,73 ,0 ,*,6 ,35 ,6 ,*,*,6 ,*
서울특별시,중구,기초,여자,85세이상,95 ,*,*,25 ,35 ,5 ,*,*,7 ,*
서울특별시,중구,의료,남자,70-74세,*,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울특별시,중구,의료,남자,75-79세,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울특별시,중구,의료,남자,80-84세,*,0 ,0 ,0 ,0 ,*,0 ,0 ,0 ,0 
서울특별시,중구,의료,남자,85세이상,*,0 ,0 ,*,*,0 ,0 ,0 ,0 ,0 
서울특별시,중구,의료,여자,70-74세,*,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울특별시,중구,의료,여자,75-79세,*,0 ,0 ,0 ,*,0 ,0 ,0 ,0 ,0 
서울특별시,중구,의료,여자,80-84세,*,0 ,0 ,*,*,0 ,0 ,0 ,0 ,0 
